,Open,High,Low,Close,Volume,Start_time,Close_time,qav
0,37253.82,37894.81,37100,37798.31,5234.072735,6/1/21 0:00,00:00.0,196926607.5
1,37798.32,37803.49,37160,37196.64,3154.434156,6/1/21 1:00,00:00.0,118173642.8
2,37196.64,37296.08,36620,36850,3078.850158,6/1/21 2:00,00:00.0,113551230.2
3,36850,37124.09,36478,36704.99,3179.701359,6/1/21 3:00,00:00.0,116905766.8
4,36706.8,36957.69,36561.89,36748.01,1767.107527,6/1/21 4:00,00:00.0,64976976.77
5,36748.02,37350,36710.4,37266.55,2603.445266,6/1/21 5:00,00:00.0,96537837.28
6,37264.66,37443.72,36710.19,36915.32,3002.411865,6/1/21 6:00,00:00.0,111290611.2
7,36917.6,37171.09,36638.71,36831.58,2722.383175,6/1/21 7:00,00:00.0,100313042.7
8,36831.58,36939.81,35902.43,36197.77,5806.787389,6/1/21 8:00,00:00.0,210515123.7
9,36197.75,36362.98,35965.72,36231.51,2723.889997,6/1/21 9:00,00:00.0,98565251.35
10,36234.1,36593.41,36095.15,36439.6,2804.839551,6/1/21 10:00,00:00.0,101992700.9
11,36439.59,36761.96,36282.01,36596.62,2484.370825,6/1/21 11:00,00:00.0,90812462.85
12,36596.63,36597.26,36112.01,36164.95,3365.376983,6/1/21 12:00,00:00.0,122194005
13,36163.51,37440,35666,37039.69,10250.55578,6/1/21 13:00,00:00.0,375949295
14,37036.57,37289.86,36478.36,36636.71,4510.797149,6/1/21 14:00,00:00.0,166343127.4
15,36634.42,36644.7,36025.46,36235.29,3903.095706,6/1/21 15:00,00:00.0,141630078.7
16,36235.28,36479.99,35760,35875.57,4317.774876,6/1/21 16:00,00:00.0,156038416.4
17,35871.69,36300,35716.66,36154.77,2880.592451,6/1/21 17:00,00:00.0,103674311.5
18,36154.64,36492.89,36087.95,36240.69,2494.576699,6/1/21 18:00,00:00.0,90475656.47
19,36240.46,36240.49,35726.36,35973.87,3225.508932,6/1/21 19:00,00:00.0,116101074.6
20,35973.86,36339.6,35873.08,36327.05,1999.820832,6/1/21 20:00,00:00.0,72251737.5
21,36327.05,36474.55,36040.11,36418.77,1772.288919,6/1/21 21:00,00:00.0,64314491.13
22,36418.77,36590.53,36213.8,36433.69,1811.947807,6/1/21 22:00,00:00.0,65953844.48
23,36433.69,36800,36428.42,36693.09,2140.033637,6/1/21 23:00,00:00.0,78441008.26
24,36694.85,36900,36059.12,36179.39,2792.547517,6/2/21 0:00,00:00.0,101833666
25,36179.38,36299.47,35920,36292.17,1757.999958,6/2/21 1:00,00:00.0,63497983.88
26,36292.17,36550,36230,36268.41,1463.206921,6/2/21 2:00,00:00.0,53254120.69
27,36267.67,36685,36267.08,36472.39,1989.76496,6/2/21 3:00,00:00.0,72633555.54
28,36472.38,36767.44,36472.38,36665.05,1930.591246,6/2/21 4:00,00:00.0,70743773.55
29,36662.22,36921,36487.66,36808.49,2488.19277,6/2/21 5:00,00:00.0,91300243.99
30,36808.49,36989,36661.53,36734.54,2448.940769,6/2/21 6:00,00:00.0,90101199.51
31,36734.54,37400,36731.03,37220,5591.509934,6/2/21 7:00,00:00.0,207805328.1
32,37219.99,37473.29,37065,37371.01,3634.601704,6/2/21 8:00,00:00.0,135319417
33,37371.64,37538.07,37169.26,37270.26,3172.904914,6/2/21 9:00,00:00.0,118441152.1
34,37270.26,37294.54,37042.7,37151.17,2548.990591,6/2/21 10:00,00:00.0,94769209.96
35,37148.02,37369.2,36851.45,37203.08,3485.806389,6/2/21 11:00,00:00.0,129364485.8
36,37203.08,37450.75,37170.38,37276.59,2547.700014,6/2/21 12:00,00:00.0,95090840.71
37,37276.58,37800,37058.61,37539.04,5254.229145,6/2/21 13:00,00:00.0,196953444.1
38,37539.05,38100,37455,37853.57,5342.75313,6/2/21 14:00,00:00.0,202039299.7
39,37853.57,38225,37853.56,38040.7,4402.050688,6/2/21 15:00,00:00.0,167452582.7
40,38040.69,38200,37727.37,37893.57,3948.777877,6/2/21 16:00,00:00.0,149918182.2
41,37893.57,38095,37750,38014.98,2057.314994,6/2/21 17:00,00:00.0,77925555.62
42,38014.23,38066.65,37775,38016.41,1826.695163,6/2/21 18:00,00:00.0,69335852.67
43,38016.41,38045,37795.59,37884.57,1458.803558,6/2/21 19:00,00:00.0,55314557.54
44,37884.58,37929.97,37569.25,37724.61,2425.931378,6/2/21 20:00,00:00.0,91480300.04
45,37724.61,37918,37673.21,37780.32,1280.280508,6/2/21 21:00,00:00.0,48408927.61
46,37779.86,37874.66,37320,37527.89,2308.791592,6/2/21 22:00,00:00.0,86721289.57
47,37527.89,37745.41,37434.01,37568.68,1428.986775,6/2/21 23:00,00:00.0,53757607.18
48,37568.68,37903.14,37291.35,37469.31,2938.209713,6/3/21 0:00,00:00.0,110119720.1
49,37469.32,37580.43,37250,37298,1650.418934,6/3/21 1:00,00:00.0,61763373.25
50,37298.01,37430.69,37170,37400.07,1984.270392,6/3/21 2:00,00:00.0,74045233.18
51,37400.07,37678.86,37340,37634.57,1808.815073,6/3/21 3:00,00:00.0,67820265.11
52,37635.24,38054.56,37600,37970,2364.16549,6/3/21 4:00,00:00.0,89454647.98
53,37970,38895,37970,38795.88,7286.25633,6/3/21 5:00,00:00.0,280516722.4
54,38795.88,38974.19,38589.97,38949,3510.446139,6/3/21 6:00,00:00.0,136170788.5
